Date,Open,High,Low,Close,Volume,Market Cap,btc_market_price,btc_total_bitcoins,btc_market_cap,btc_trade_volume,btc_blocks_size,btc_avg_block_size,btc_n_orphaned_blocks,btc_n_transactions_per_block,btc_median_confirmation_time,btc_hash_rate,btc_difficulty,btc_miners_revenue,btc_transaction_fees,btc_cost_per_transaction_percent,btc_cost_per_transaction,btc_n_unique_addresses,btc_n_transactions,btc_n_transactions_total,btc_n_transactions_excluding_popular,btc_n_transactions_excluding_chains_longer_than_100,btc_output_volume,btc_estimated_transaction_volume,btc_estimated_transaction_volume_usd
2017-12-20,17760.3,17934.7,16077.7,16624.6,22149700000,297526000000,16026.2716667,16754062.5,268505157145,2752775707.11,147389.481124,1.07280013971,0,2722.625,11.25,12663310.6376,1873105475220,40786861.3917,911.59174277,0.812362940849,113.03450863,853863,370277,284434086,352242,238891,2227875.17809,321480.906064,5152140336.23
2017-12-19,19118.3,19177.8,17275.4,17776.7,16894500000,320242000000,17737.1116667,16752362.5,297138524343,2215330000.93,147243.580305,1.0601594,0,2704.44285714,9.9,13035760.9505,1873105475220,41629001.0817,662.59550536,1.13465642727,113.021630769,887697,378622,284063809,362550,203360,1984897.72988,212627.844639,3771403823.8
2017-12-18,19106.4,19371,18355.9,19114.2,14839500000,320000000000,18961.8566667,16750612.5,317622713304,2021140821.09,147095.157989,1.04203505495,0,2166.14835165,11.45,16946489.2357,1718045833480,52600190.3933,587.12548366,1.11360250933,137.660691061,922523,394239,283685187,376724,233159,3005751.29995,257014.99949,4873481581.5
2017-12-17,19475.8,20089,18974.1,19140.8,13314600000,326141000000,19289.785,16748337.5,323071829482,1641066517.69,146905.507609,1.04107442162,0,2118.43243243,11.6,14630524.3133,1590896927260,53191582.1375,535.43867532,1.08452566425,140.175358475,877464,391910,283290948,375878,234246,2389062.95524,262597.628548,5065451796.19
2017-12-16,17760.3,19716.7,17515.3,19497.4,12740600000,297376000000,19498.6833333,16746025,326525438567,1636509991.67,146712.908841,1.05658370175,0,2129.95321637,13.05,13523349.5004,1590896927260,50569835.225,534.01138337,1.45433707355,143.019791462,819304,364222,282899038,349526,230740,2356102.92275,183692.723781,3581766251.64
2017-12-15,16601.3,18154.1,16601.3,17706.9,14310000000,277936000000,17771.9,16743887.5,297570694261,2066395216.58,146532.233028,1.05793876923,0,2400.44970414,13.15,13365181.67,1590896927260,46748982.95,592.70393429,1.14088464028,118.509879312,942513,405676,282534816,389126,256456,2756649.27952,237114.589747,4213976777.53
2017-12-14,16384.6,17085.8,16185.9,16564,13777400000,274269000000,16678.892,16741775,279234257113,610207126.688,146353.441376,1.04183730811,0,2652.12972973,8.23333333333,14630524.3133,1590896927260,47709970.566,644.60794431,1.37466523053,100.52356502,1072861,490644,282129140,470650,225507,2943542.64673,215114.769664,3587876010.83
2017-12-13,17500,17653.1,16039.7,16408.2,12976900000,292900000000,16808.3666667,16739462.5,281363023503,2027550684.5,146160.701474,1.05706467204,0,2282.6827957,11.525,14709608.2285,1590896927260,47718952.9667,604.2979452,1.05694566912,115.965966143,958476,424579,281638496,407341,259062,3267550.7084,277147.447668,4658395921.13
2017-12-12,16919.8,17781.8,16571.6,17415.4,14603800000,283155000000,17276.3933333,16737137.5,289157370724,1992977378,145964.087445,1.06131315385,0,2390.87820513,13.1,12337090.7723,1590896927260,41532449.5733,537.94407913,0.74619566638,115.242228079,867771,372977,281213917,355339,244992,3302129.25712,333417.117148,5760245259.92
2017-12-11,15427.4,17513.9,15404.8,16936.8,12153900000,258147000000,16762.1166667,16735187.5,280517165314,2487997751.02,145798.522593,1.06044797076,0,2155.54385965,13.4,13523349.5004,1590896927260,42517108.925,483.63865068,1.02856109974,119.19715208,867654,368598,280840940,357068,256056,2687922.77011,254835.483408,4271582103.7
